InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-501459,PROD-104,Organic Lavender Candle,Home Decor,2,2025-07-09 06:12:13,12.0,CUST-10416,United Kingdom
INV-501345,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-06-24 04:25:58,18.25,CUST-10710,United States
INV-500230,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-02-20 14:34:02,24.0,CUST-10747,Netherlands
INV-503782,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-12-30 05:49:14,19.99,CUST-11078,United Kingdom
INV-503500,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,12,2025-02-24 20:52:54,24.0,CUST-10843,United Kingdom
INV-500882,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,5,2025-09-01 02:41:15,14.5,CUST-10115,United Kingdom
INV-502773,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-11-16 08:47:41,24.0,CUST-10278,United Kingdom
INV-502331,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-05-11 17:51:29,18.25,CUST-10453,United Kingdom
INV-500432,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-11-03 04:46:24,18.25,CUST-11165,United Kingdom
INV-501208,PROD-106,Leather Executive Notebook,Stationery,1,2025-05-15 13:19:23,22.5,CUST-10607,United Kingdom
INV-502680,PROD-106,Leather Executive Notebook,Stationery,1,2025-01-21 07:10:22,22.5,CUST-11072,United States
INV-502263,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-11-25 17:18:23,19.99,CUST-10368,United Kingdom
INV-503002,PROD-104,Organic Lavender Candle,Home Decor,1,2025-06-16 21:14:25,12.0,CUST-10369,United Kingdom
INV-502412,PROD-105,Noise-Cancelling Headphones,Electronics,10,2025-10-01 01:27:47,89.99,CUST-10300,Australia
INV-501817,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-03-30 14:37:27,18.25,CUST-10716,United Kingdom
INV-500617,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,4,2025-11-12 17:26:54,18.25,CUST-10970,United States
INV-504492,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-01-14 10:00:25,16.75,CUST-10194,United Kingdom
INV-502505,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-08-30 21:33:25,89.99,CUST-10249,United Kingdom
INV-500317,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-09-22 00:16:21,14.5,CUST-10257,United Kingdom
INV-500456,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-12-12 12:03:56,16.75,CUST-10989,United Kingdom
INV-500500,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-02-22 05:07:52,45.0,CUST-10058,United States
INV-504418,PROD-106,Leather Executive Notebook,Stationery,1,2025-12-06 05:22:16,22.5,CUST-10941,France
INV-502315,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-04-02 07:06:27,16.75,CUST-11076,Netherlands
INV-503874,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-09-21 21:26:32,19.99,CUST-10786,Germany
INV-501003,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-02-04 23:20:46,24.0,CUST-10560,United Kingdom
INV-504250,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-07-25 14:43:33,19.99,CUST-10975,United Kingdom
INV-504196,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-03-22 23:28:31,45.0,CUST-10528,United Kingdom
INV-501066,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-02-19 02:41:05,45.0,CUST-10497,Germany
INV-501628,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-12-26 07:31:37,24.0,CUST-10638,United Kingdom
INV-503234,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-01-02 14:34:34,89.99,CUST-11020,United Kingdom
INV-502281,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-02-23 19:59:33,24.0,CUST-10154,United States
INV-504498,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-04-16 06:59:45,45.0,CUST-11002,Germany
INV-502398,PROD-104,Organic Lavender Candle,Home Decor,2,2025-09-17 21:05:11,12.0,CUST-10797,United Kingdom
INV-503238,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-11-06 08:28:04,19.99,CUST-10077,United Kingdom
INV-504354,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,4,2025-07-10 12:40:10,19.99,CUST-11197,France
INV-503669,PROD-106,Leather Executive Notebook,Stationery,1,2025-08-06 14:06:47,22.5,CUST-10319,Australia
INV-501465,PROD-102,Wireless Ergonomic Mouse,Electronics,4,2025-02-13 14:08:27,28.99,CUST-11055,United Kingdom
INV-501961,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-06-11 15:56:29,45.0,CUST-10521,Australia
INV-500875,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,5,2025-07-21 07:10:35,18.25,,United Kingdom
INV-504069,PROD-102,Wireless Ergonomic Mouse,Electronics,5,2025-09-27 14:56:30,28.99,CUST-10629,Spain
INV-503901,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-12-17 21:22:40,45.0,CUST-10668,France
INV-500542,PROD-102,Wireless Ergonomic Mouse,Electronics,5,2025-10-31 02:40:43,28.99,CUST-10244,Spain
INV-503516,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-09-28 21:04:06,24.0,CUST-10590,United Kingdom
INV-503865,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-08-03 05:15:51,89.99,CUST-10671,United Kingdom
INV-504499,PROD-106,Leather Executive Notebook,Stationery,1,2025-09-09 04:13:53,22.5,CUST-11114,United Kingdom
INV-501018,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,4,2025-07-09 03:40:00,18.25,CUST-10869,United Kingdom
INV-501428,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-10-23 14:31:15,45.0,CUST-10640,United Kingdom
INV-500574,PROD-105,Noise-Cancelling Headphones,Electronics,4,2025-08-01 21:07:48,89.99,CUST-10013,United Kingdom
INV-501458,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-07-27 05:54:51,89.99,CUST-10898,United Kingdom
INV-501499,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-08-25 11:47:28,19.99,CUST-10285,United Kingdom
INV-501491,PROD-104,Organic Lavender Candle,Home Decor,4,2025-12-04 08:29:40,12.0,CUST-10670,United Kingdom
INV-503172,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-02-22 05:55:46,45.0,CUST-10640,Spain
INV-502470,PROD-104,Organic Lavender Candle,Home Decor,10,2025-10-07 02:56:59,12.0,CUST-10685,Spain
INV-503427,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,3,2025-08-05 00:29:26,9.99,CUST-10931,Netherlands
INV-502515,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-09-09 00:59:09,34.5,CUST-10931,France
INV-503551,PROD-106,Leather Executive Notebook,Stationery,12,2025-07-07 05:11:33,22.5,CUST-11011,Spain
INV-504206,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-02-10 17:13:39,19.99,,France
INV-502200,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-06-06 13:25:28,28.99,CUST-10910,Spain
INV-502964,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-01-15 21:35:01,28.99,CUST-10811,United Kingdom
INV-503313,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-10-28 07:01:41,28.99,CUST-11019,Australia
INV-502927,PROD-106,Leather Executive Notebook,Stationery,3,2025-03-06 12:26:03,22.5,CUST-10620,United Kingdom
INV-500681,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,4,2025-12-11 05:46:05,9.99,CUST-11078,United Kingdom
INV-500278,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-11-23 12:26:27,14.5,CUST-10566,United Kingdom
INV-504458,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,6,2025-01-09 02:03:45,18.25,CUST-10106,United Kingdom
INV-501648,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-12-10 03:34:17,14.5,CUST-11153,Germany
INV-501158,PROD-104,Organic Lavender Candle,Home Decor,2,2025-05-09 14:39:31,12.0,CUST-10635,United Kingdom
INV-502341,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-05-16 06:14:04,14.5,CUST-10417,Germany
INV-501518,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-03-04 11:30:57,16.75,CUST-10048,United Kingdom
INV-501838,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-05-19 22:09:01,19.99,CUST-10319,United Kingdom
INV-500870,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-03-22 00:11:44,9.99,CUST-10252,United Kingdom
INV-503277,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-06-12 01:30:52,19.99,CUST-11092,United Kingdom
INV-501341,PROD-106,Leather Executive Notebook,Stationery,1,2025-10-16 10:47:42,22.5,CUST-10476,United Kingdom
INV-502306,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-09-18 17:04:31,34.5,CUST-10829,United Kingdom
INV-501171,PROD-102,Wireless Ergonomic Mouse,Electronics,5,2025-08-19 19:13:37,28.99,CUST-10563,United Kingdom
INV-504072,PROD-106,Leather Executive Notebook,Stationery,2,2025-02-10 23:54:18,22.5,CUST-10740,United States
C501128,PROD-104,Organic Lavender Candle,Home Decor,-2,2025-01-28 05:05:00,12.0,CUST-10186,United Kingdom
INV-503627,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,5,2025-05-15 02:39:26,24.0,CUST-10699,United Kingdom
INV-503999,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,4,2025-07-20 02:05:01,34.5,CUST-10702,United Kingdom
INV-503887,PROD-106,Leather Executive Notebook,Stationery,1,2025-11-24 00:30:45,22.5,CUST-10111,United Kingdom
INV-501284,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-09-25 10:53:01,14.5,CUST-10292,United Kingdom
INV-500570,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-02-02 15:54:23,34.5,CUST-10955,United States
INV-502864,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-02-17 21:52:46,19.99,CUST-10873,United Kingdom
INV-503984,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,3,2025-03-03 17:30:38,14.5,CUST-10360,Australia
INV-503141,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-08-04 23:08:10,16.75,CUST-10501,United Kingdom
INV-501977,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-10-20 09:33:24,28.99,CUST-10983,United Kingdom
INV-500446,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-04-09 06:16:04,19.99,CUST-10648,United States
INV-501280,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-06-21 15:57:15,45.0,CUST-10085,United Kingdom
INV-500636,PROD-106,Leather Executive Notebook,Stationery,2,2025-12-26 05:03:47,22.5,CUST-10979,United Kingdom
INV-502973,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-08-02 13:11:15,34.5,CUST-10295,United States
C500118,PROD-105,Noise-Cancelling Headphones,Electronics,-2,2025-02-04 04:46:55,89.99,CUST-11194,Spain
INV-504161,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-08-15 19:44:34,28.99,CUST-10278,United States
INV-502292,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-04-11 06:01:39,89.99,CUST-10251,United Kingdom
INV-502104,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-05-11 03:27:34,14.5,CUST-11031,Germany
INV-501067,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-09-14 13:23:37,34.5,CUST-10585,United Kingdom
INV-500423,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,20,2025-01-05 06:01:51,34.5,CUST-11174,France
INV-503819,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-08-06 04:10:59,28.99,CUST-10604,United Kingdom
INV-504490,PROD-106,Leather Executive Notebook,Stationery,1,2025-09-12 13:26:38,22.5,CUST-10375,Spain
INV-501280,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-12-25 00:21:26,19.99,CUST-10607,United Kingdom
INV-501819,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-10-10 09:31:37,34.5,CUST-10439,United Kingdom
INV-503432,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-07-26 07:21:25,45.0,CUST-10141,United Kingdom
INV-500762,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-01-15 16:39:27,34.5,CUST-10591,United Kingdom
INV-501629,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-12-12 15:09:43,9.99,CUST-10019,United Kingdom
INV-500442,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-02-11 14:20:30,24.0,CUST-10011,United Kingdom
INV-503014,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-06-28 07:31:26,18.25,CUST-10635,Germany
INV-502581,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,3,2025-03-04 04:34:44,9.99,CUST-10121,France
INV-501497,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-12-18 19:03:43,19.99,CUST-10424,France
INV-504252,PROD-104,Organic Lavender Candle,Home Decor,4,2025-08-19 16:27:43,12.0,CUST-10228,United Kingdom
INV-500088,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-08-29 05:11:15,14.5,CUST-10596,United Kingdom
INV-502249,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-02-21 16:51:04,16.75,CUST-10932,United Kingdom
INV-500979,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-04-06 06:51:20,45.0,CUST-10877,United Kingdom
INV-500461,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-08-10 04:44:37,45.0,CUST-10785,Spain
INV-503552,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-08-19 10:36:14,28.99,CUST-10028,United Kingdom
INV-502756,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-08-25 21:22:48,45.0,CUST-10134,United States
INV-503628,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-05-23 00:58:11,24.0,CUST-10100,Australia
INV-502501,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-06-20 12:48:46,34.5,CUST-10375,United Kingdom
INV-500379,PROD-104,Organic Lavender Candle,Home Decor,1,2025-01-29 00:56:32,12.0,CUST-10645,United Kingdom
INV-504496,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-02-05 17:17:37,19.99,CUST-10692,Germany
INV-502983,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-01-13 18:50:04,19.99,CUST-10199,United Kingdom
INV-503060,PROD-110,Smart LED Desk Lamp,Electronics,5,2025-06-09 10:40:00,45.0,CUST-10720,United Kingdom
INV-502950,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-11-23 10:09:11,14.5,CUST-11148,United Kingdom
INV-503730,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-07-06 07:48:08,89.99,CUST-10470,United Kingdom
INV-504424,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-08-31 22:13:35,45.0,CUST-11045,United States
INV-501931,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-03-27 07:04:25,45.0,CUST-10049,United Kingdom
INV-503421,PROD-106,Leather Executive Notebook,Stationery,1,2025-10-11 13:22:35,22.5,CUST-10725,United Kingdom
INV-501990,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-03-07 01:39:29,24.0,CUST-10065,France
INV-503856,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,6,2025-06-19 02:29:41,14.5,CUST-11153,United Kingdom
INV-501482,PROD-104,Organic Lavender Candle,Home Decor,2,2025-02-14 05:50:32,12.0,CUST-10301,France
INV-502545,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,4,2025-03-03 15:01:31,9.99,CUST-10383,Spain
INV-504220,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-05-14 06:46:48,89.99,CUST-10537,United Kingdom
INV-504299,PROD-105,Noise-Cancelling Headphones,Electronics,3,2025-10-11 06:44:01,89.99,CUST-10702,United Kingdom
INV-502815,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-01-28 13:19:00,24.0,CUST-10048,United Kingdom
INV-500642,PROD-104,Organic Lavender Candle,Home Decor,3,2025-04-18 23:02:18,12.0,CUST-10318,United Kingdom
C503918,PROD-110,Smart LED Desk Lamp,Electronics,-2,2025-02-13 14:11:45,45.0,CUST-10020,United Kingdom
INV-501586,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-12-06 16:57:30,24.0,CUST-10590,United States
INV-502409,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-10-13 01:00:57,34.5,CUST-10591,Australia
INV-503849,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-11-27 05:53:50,28.99,CUST-10008,Germany
INV-500054,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,5,2025-05-08 05:11:20,14.5,CUST-10148,Germany
INV-500841,PROD-110,Smart LED Desk Lamp,Electronics,5,2025-12-14 22:58:14,45.0,CUST-10498,Germany
INV-500984,PROD-110,Smart LED Desk Lamp,Electronics,6,2025-08-19 23:32:11,45.0,CUST-11078,United Kingdom
INV-502620,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,4,2025-07-09 11:45:40,14.5,CUST-10296,United Kingdom
INV-502906,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-08-13 09:59:10,14.5,CUST-10517,Germany
INV-501994,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-10-10 21:48:35,16.75,,United Kingdom
INV-501932,PROD-104,Organic Lavender Candle,Home Decor,3,2025-05-01 02:11:07,12.0,CUST-10703,France
INV-502272,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-04-26 22:24:51,16.75,CUST-10900,United Kingdom
INV-500102,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-08-21 21:49:02,24.0,CUST-11022,United Kingdom
INV-500969,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-09-16 01:12:09,24.0,CUST-10281,Germany
INV-501071,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-12-25 09:57:45,28.99,CUST-10768,United Kingdom
INV-500736,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-07-17 18:35:40,28.99,CUST-10256,United Kingdom
INV-501365,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-05-17 10:31:09,9.99,CUST-11116,France
INV-503630,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-11-14 18:35:05,89.99,CUST-10213,United Kingdom
INV-500227,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-06-14 23:19:44,45.0,CUST-10552,United Kingdom
INV-503570,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,3,2025-08-13 18:24:12,14.5,CUST-10132,Germany
INV-500444,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-11-03 22:03:06,24.0,CUST-10916,France
INV-501619,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-08-22 00:28:31,19.99,CUST-10085,United Kingdom
INV-502204,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-06-21 07:10:01,24.0,,United Kingdom
INV-502703,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-06-01 14:47:50,19.99,CUST-10876,United Kingdom
INV-503050,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-11-11 19:53:42,34.5,CUST-10759,United Kingdom
INV-503502,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-06-09 15:25:35,24.0,CUST-10871,Spain
INV-503626,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-04-06 21:19:19,34.5,CUST-10956,United States
INV-501181,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-08-21 04:30:20,18.25,CUST-10248,Germany
INV-503256,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-06-29 03:43:12,18.25,CUST-10563,Germany
INV-500797,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-04-23 23:46:27,34.5,CUST-10288,United Kingdom
INV-500834,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-11-14 00:37:26,16.75,CUST-10408,France
INV-502999,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-02-21 05:33:30,45.0,CUST-10732,United Kingdom
INV-502032,PROD-104,Organic Lavender Candle,Home Decor,1,2025-09-25 18:59:18,12.0,,United Kingdom
INV-504452,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,10,2025-10-22 04:47:14,34.5,CUST-10060,Germany
INV-502764,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-04-23 13:44:11,14.5,CUST-10780,United Kingdom
C502409,PROD-102,Wireless Ergonomic Mouse,Electronics,-5,2025-04-11 20:53:25,28.99,,France
INV-503684,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-04-23 06:03:04,45.0,CUST-10199,Spain
INV-503275,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-03-22 08:14:32,45.0,CUST-10814,Germany
INV-500007,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-07-06 00:18:02,45.0,CUST-11098,United Kingdom
INV-502519,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,5,2025-04-23 03:05:48,16.75,CUST-10755,United Kingdom
INV-502219,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-01-02 07:38:14,28.99,CUST-11044,Germany
INV-503874,PROD-102,Wireless Ergonomic Mouse,Electronics,12,2025-05-10 20:51:33,28.99,CUST-11059,United Kingdom
INV-503728,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-08-08 14:25:52,34.5,CUST-10197,United Kingdom
INV-503329,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-02-23 10:11:59,89.99,CUST-11176,United Kingdom
INV-503371,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-12-09 13:32:17,89.99,CUST-10043,Germany
INV-500613,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,4,2025-08-12 16:30:53,19.99,CUST-10640,United States
INV-500688,PROD-106,Leather Executive Notebook,Stationery,1,2025-08-13 10:58:56,22.5,CUST-10553,France
INV-500897,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-05-06 14:03:24,34.5,CUST-10954,United Kingdom
