CustomerID,Recency_Days,Frequency_Orders,Monetary_Spend,Country,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
CUST-10026,20,14,1058.67,United Kingdom,3,4,4,344,Loyal Customers
CUST-10027,29,18,1612.79,United Kingdom,3,5,5,355,Loyal Customers
CUST-10028,21,12,1396.69,United Kingdom,3,3,5,335,Loyal Customers
CUST-10029,55,15,684.06,Germany,1,4,2,142,At Risk
CUST-10030,56,6,352.99,France,1,1,1,111,Lost / Hibernating
CUST-10031,8,16,1278.76,United Kingdom,5,5,5,555,Champions
CUST-10032,68,8,442.73,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10033,5,9,2478.01,United Kingdom,5,1,5,515,Recent Customers
CUST-10034,3,12,242.19,United Kingdom,5,3,1,531,Loyal Customers
CUST-10035,9,10,338.97,France,4,2,1,421,Recent Customers
CUST-10036,42,12,772.58,United Kingdom,2,3,3,233,Need Attention
CUST-10037,5,15,1466.65,United Kingdom,5,4,5,545,Champions
CUST-10038,106,6,573.0,France,1,1,2,112,Lost / Hibernating
CUST-10039,20,9,901.38,United Kingdom,3,1,3,313,Promising
CUST-10040,19,5,540.21,United Kingdom,3,1,2,312,Promising
CUST-10041,76,5,172.48,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10042,8,10,682.69,United Kingdom,5,2,2,522,Recent Customers
CUST-10043,21,12,677.96,Germany,3,3,2,332,Loyal Customers
CUST-10044,72,5,730.94,France,1,1,3,113,Lost / Hibernating
CUST-10045,43,12,1068.4,United Kingdom,2,3,4,234,Need Attention
CUST-10046,39,15,1294.28,United Kingdom,2,4,5,245,Need Attention
CUST-10047,10,16,734.82,Germany,4,5,3,453,Champions
CUST-10048,16,15,1092.92,United Kingdom,4,4,4,444,Champions
CUST-10049,4,17,736.6,United Kingdom,5,5,3,553,Champions
CUST-10050,121,8,1352.16,United Kingdom,1,1,5,115,Lost / Hibernating
CUST-10051,2,15,1299.94,United Kingdom,5,4,5,545,Champions
CUST-10052,41,15,1085.2,United Kingdom,2,4,4,244,Need Attention
CUST-10053,50,21,1305.08,United Kingdom,1,5,5,155,At Risk
CUST-10054,5,11,840.89,United Kingdom,5,2,3,523,Recent Customers
CUST-10055,11,9,655.89,Australia,4,1,2,412,Recent Customers
CUST-10056,25,20,1772.58,United Kingdom,3,5,5,355,Loyal Customers
CUST-10057,10,11,578.13,United Kingdom,4,2,2,422,Recent Customers
CUST-10058,74,9,919.15,United States,1,1,4,114,Lost / Hibernating
CUST-10059,165,7,313.7,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10060,48,13,777.14,Germany,2,3,3,233,Need Attention
CUST-10061,32,14,847.08,United Kingdom,2,4,3,243,Need Attention
CUST-10062,34,15,1172.06,Germany,2,4,4,244,Need Attention
CUST-10063,11,9,1083.79,Netherlands,4,1,4,414,Recent Customers
CUST-10064,9,10,449.44,United Kingdom,4,2,1,421,Recent Customers
CUST-10065,28,9,462.22,United Kingdom,3,1,1,311,Promising
CUST-10066,31,15,1344.12,United Kingdom,2,4,5,245,Need Attention
CUST-10067,72,9,533.7,Germany,1,1,2,112,Lost / Hibernating
CUST-10068,27,14,1028.16,United Kingdom,3,4,4,344,Loyal Customers
CUST-10069,27,14,1064.67,United Kingdom,3,4,4,344,Loyal Customers
CUST-10070,13,13,1007.91,Germany,4,3,4,434,Loyal Customers
CUST-10071,26,8,484.95,United Kingdom,3,1,1,311,Promising
CUST-10072,9,13,723.19,United Kingdom,4,3,3,433,Loyal Customers
CUST-10073,12,5,194.47,United States,4,1,1,411,Recent Customers
CUST-10074,84,8,518.25,United Kingdom,1,1,2,112,Lost / Hibernating
CUST-10075,12,8,675.72,United Kingdom,4,1,2,412,Recent Customers
CUST-10076,91,12,400.89,United Kingdom,1,3,1,131,At Risk
CUST-10077,18,10,585.55,United Kingdom,3,2,2,322,Promising
CUST-10078,15,13,1008.2,United Kingdom,4,3,4,434,Loyal Customers
CUST-10079,37,13,1581.28,United Kingdom,2,3,5,235,Need Attention
CUST-10080,5,7,882.28,United Kingdom,5,1,3,513,Recent Customers
CUST-10081,4,15,1357.4,United Kingdom,5,4,5,545,Champions
CUST-10082,29,10,763.7,United Kingdom,3,2,3,323,Promising
CUST-10083,15,21,1505.86,Germany,4,5,5,455,Champions
CUST-10084,45,11,529.36,United Kingdom,2,2,2,222,About To Sleep
CUST-10085,4,10,634.97,United Kingdom,5,2,2,522,Recent Customers
CUST-10086,83,13,1797.53,United Kingdom,1,3,5,135,At Risk
CUST-10087,31,15,1356.81,United Kingdom,2,4,5,245,Need Attention
CUST-10088,6,15,762.47,United Kingdom,5,4,3,543,Champions
CUST-10089,12,11,1011.18,United Kingdom,4,2,4,424,Recent Customers
CUST-10090,24,7,333.44,United Kingdom,3,1,1,311,Promising
CUST-10091,24,13,600.2,France,3,3,2,332,Loyal Customers
CUST-10092,1,6,713.68,United Kingdom,5,1,3,513,Recent Customers
CUST-10093,56,13,580.17,United Kingdom,1,3,2,132,At Risk
CUST-10094,27,9,1038.38,Germany,3,1,4,314,Promising
CUST-10095,10,13,748.13,United Kingdom,4,3,3,433,Loyal Customers
CUST-10096,9,20,995.95,United Kingdom,4,5,4,454,Champions
CUST-10097,15,9,354.94,United Kingdom,4,1,1,411,Recent Customers
CUST-10098,1,13,1249.14,France,5,3,5,535,Loyal Customers
CUST-10099,79,14,530.49,Germany,1,4,2,142,At Risk
CUST-10100,27,8,566.21,Germany,3,1,2,312,Promising
CUST-10101,19,13,1604.1,United Kingdom,3,3,5,335,Loyal Customers
CUST-10102,9,12,1064.04,France,4,3,4,434,Loyal Customers
CUST-10103,2,12,590.43,France,5,3,2,532,Loyal Customers
CUST-10104,16,11,465.92,Spain,4,2,1,421,Recent Customers
CUST-10105,3,11,838.92,United Kingdom,5,2,3,523,Recent Customers
CUST-10106,26,15,679.7,United Kingdom,3,4,2,342,Loyal Customers
CUST-10107,3,13,578.21,Germany,5,3,2,532,Loyal Customers
CUST-10108,21,17,936.61,United Kingdom,3,5,4,354,Loyal Customers
CUST-10109,59,11,718.38,Spain,1,2,3,123,Lost / Hibernating
CUST-10110,83,16,1002.04,United Kingdom,1,5,4,154,At Risk
CUST-10111,38,8,294.45,United Kingdom,2,1,1,211,About To Sleep
CUST-10112,34,13,775.7,Spain,2,3,3,233,Need Attention
CUST-10113,4,13,792.92,United Kingdom,5,3,3,533,Loyal Customers
CUST-10114,57,9,331.93,United States,1,1,1,111,Lost / Hibernating
CUST-10115,10,12,509.98,United Kingdom,4,3,1,431,Loyal Customers
CUST-10116,11,11,445.17,France,4,2,1,421,Recent Customers
CUST-10117,115,12,769.43,United Kingdom,1,3,3,133,At Risk
CUST-10118,37,10,481.92,United Kingdom,2,2,1,221,About To Sleep
CUST-10119,3,14,817.19,Spain,5,4,3,543,Champions
CUST-10120,90,11,759.9,United Kingdom,1,2,3,123,Lost / Hibernating
CUST-10121,1,12,925.15,France,5,3,4,534,Loyal Customers
CUST-10122,49,15,1819.3,Spain,2,4,5,245,Need Attention
CUST-10123,16,10,447.24,United Kingdom,4,2,1,421,Recent Customers
CUST-10124,17,10,830.41,United Kingdom,4,2,3,423,Recent Customers
CUST-10125,14,11,771.96,United Kingdom,4,2,3,423,Recent Customers
CUST-10126,16,7,629.19,United Kingdom,4,1,2,412,Recent Customers
CUST-10127,146,5,181.72,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10128,46,8,489.9,United Kingdom,2,1,1,211,About To Sleep
CUST-10129,12,11,756.9,United Kingdom,4,2,3,423,Recent Customers
CUST-10130,6,16,1205.34,United Kingdom,5,5,4,554,Champions
CUST-10131,4,16,2175.05,United Kingdom,5,5,5,555,Champions
CUST-10132,6,14,990.19,Germany,5,4,4,544,Champions
CUST-10133,18,11,630.99,United Kingdom,3,2,2,322,Promising
CUST-10134,28,11,634.72,United States,3,2,2,322,Promising
CUST-10135,47,10,1464.12,Netherlands,2,2,5,225,About To Sleep
CUST-10136,33,7,204.47,United Kingdom,2,1,1,211,About To Sleep
CUST-10137,18,10,659.41,United States,3,2,2,322,Promising
CUST-10138,38,10,1130.94,United Kingdom,2,2,4,224,About To Sleep
CUST-10139,9,11,931.91,United States,4,2,4,424,Recent Customers
CUST-10140,22,12,1609.2,United Kingdom,3,3,5,335,Loyal Customers
CUST-10141,20,13,1143.6,United Kingdom,3,3,4,334,Loyal Customers
CUST-10142,8,13,1440.34,United States,5,3,5,535,Loyal Customers
CUST-10143,72,12,1071.54,United Kingdom,1,3,4,134,At Risk
CUST-10144,22,14,1192.89,United Kingdom,3,4,4,344,Loyal Customers
CUST-10145,14,14,1114.63,United Kingdom,4,4,4,444,Champions
CUST-10146,11,11,660.37,Netherlands,4,2,2,422,Recent Customers
CUST-10147,49,9,360.19,United Kingdom,2,1,1,211,About To Sleep
CUST-10148,24,19,1696.22,Germany,3,5,5,355,Loyal Customers
CUST-10149,27,5,277.47,United Kingdom,3,1,1,311,Promising
CUST-10150,23,12,515.12,France,3,3,2,332,Loyal Customers
CUST-10151,9,12,517.71,United Kingdom,4,3,2,432,Loyal Customers
CUST-10152,31,11,566.93,France,2,2,2,222,About To Sleep
CUST-10153,11,18,1827.0,United Kingdom,4,5,5,455,Champions
CUST-10154,69,15,1397.14,United States,1,4,5,145,At Risk
CUST-10155,23,16,795.14,United Kingdom,3,5,3,353,Loyal Customers
CUST-10156,52,10,520.45,United Kingdom,1,2,2,122,Lost / Hibernating
CUST-10157,32,10,672.19,United Kingdom,2,2,2,222,About To Sleep
CUST-10158,13,13,559.1,Australia,4,3,2,432,Loyal Customers
CUST-10159,10,13,1338.9,Germany,4,3,5,435,Loyal Customers
CUST-10160,4,16,1432.17,United Kingdom,5,5,5,555,Champions
CUST-10161,9,21,3739.02,United Kingdom,4,5,5,455,Champions
CUST-10162,35,10,464.21,Australia,2,2,1,221,About To Sleep
CUST-10163,30,8,736.91,Netherlands,2,1,3,213,About To Sleep
CUST-10164,109,12,566.22,Germany,1,3,2,132,At Risk
CUST-10165,50,9,451.67,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10166,108,12,1085.78,Germany,1,3,4,134,At Risk
CUST-10167,15,11,795.97,United Kingdom,4,2,3,423,Recent Customers
CUST-10168,64,6,525.0,United Kingdom,1,1,2,112,Lost / Hibernating
CUST-10169,11,13,892.17,United Kingdom,4,3,3,433,Loyal Customers
CUST-10170,82,15,777.19,Netherlands,1,4,3,143,At Risk
CUST-10171,41,16,943.66,France,2,5,4,254,Need Attention
CUST-10172,24,12,615.34,United Kingdom,3,3,2,332,Loyal Customers
CUST-10173,8,15,1436.27,United States,5,4,5,545,Champions
CUST-10174,3,15,1175.81,United Kingdom,5,4,4,544,Champions
CUST-10175,93,13,948.67,United Kingdom,1,3,4,134,At Risk
CUST-10176,2,16,1087.42,United Kingdom,5,5,4,554,Champions
CUST-10177,9,16,1014.13,United Kingdom,4,5,4,454,Champions
CUST-10178,3,9,487.94,United States,5,1,1,511,Recent Customers
CUST-10179,22,13,809.57,United Kingdom,3,3,3,333,Loyal Customers
CUST-10180,18,15,916.53,Australia,3,4,3,343,Loyal Customers
CUST-10181,21,14,676.96,Netherlands,3,4,2,342,Loyal Customers
CUST-10182,62,20,1491.85,United Kingdom,1,5,5,155,At Risk
CUST-10183,39,14,1124.08,United Kingdom,2,4,4,244,Need Attention
CUST-10184,23,12,386.46,United Kingdom,3,3,1,331,Loyal Customers
CUST-10185,110,4,329.92,France,1,1,1,111,Lost / Hibernating
CUST-10186,45,14,851.42,United Kingdom,2,4,3,243,Need Attention
CUST-10187,39,14,687.44,United Kingdom,2,4,2,242,Need Attention
CUST-10188,24,10,863.64,United Kingdom,3,2,3,323,Promising
CUST-10189,28,9,875.43,United Kingdom,3,1,3,313,Promising
CUST-10190,29,10,574.22,Germany,3,2,2,322,Promising
CUST-10191,63,12,883.93,United Kingdom,1,3,3,133,At Risk
CUST-10192,22,13,918.11,United States,3,3,4,334,Loyal Customers
CUST-10193,57,9,927.46,France,1,1,4,114,Lost / Hibernating
CUST-10194,29,15,1136.2,United Kingdom,3,4,4,344,Loyal Customers
CUST-10195,41,8,802.73,Germany,2,1,3,213,About To Sleep
CUST-10196,43,9,955.97,United Kingdom,2,1,4,214,About To Sleep
CUST-10197,1,15,2200.81,United Kingdom,5,4,5,545,Champions
CUST-10198,16,13,915.91,United Kingdom,4,3,3,433,Loyal Customers
CUST-10199,17,12,1457.37,United Kingdom,4,3,5,435,Loyal Customers
CUST-10200,23,10,431.85,United Kingdom,3,2,1,321,Promising
CUST-10201,1,12,593.19,United Kingdom,5,3,2,532,Loyal Customers
CUST-10202,11,12,672.88,United Kingdom,4,3,2,432,Loyal Customers
CUST-10203,43,14,944.12,Netherlands,2,4,4,244,Need Attention
CUST-10204,10,15,1032.79,United States,4,4,4,444,Champions
CUST-10205,59,11,819.39,United Kingdom,1,2,3,123,Lost / Hibernating
CUST-10206,10,17,586.65,United Kingdom,4,5,2,452,Champions
CUST-10207,5,14,568.38,United Kingdom,5,4,2,542,Champions
CUST-10208,22,14,2720.1,Germany,3,4,5,345,Loyal Customers
CUST-10209,1,11,1018.19,United Kingdom,5,2,4,524,Recent Customers
CUST-10210,13,11,663.44,United Kingdom,4,2,2,422,Recent Customers
CUST-10211,2,13,1143.36,United Kingdom,5,3,4,534,Loyal Customers
CUST-10212,21,11,781.14,United Kingdom,3,2,3,323,Promising
CUST-10213,19,20,1008.14,United Kingdom,3,5,4,354,Loyal Customers
CUST-10214,21,14,1108.82,United Kingdom,3,4,4,344,Loyal Customers
CUST-10215,9,13,667.93,United Kingdom,4,3,2,432,Loyal Customers
CUST-10216,13,14,1640.65,Germany,4,4,5,445,Champions
CUST-10217,21,13,633.19,United Kingdom,3,3,2,332,Loyal Customers
CUST-10218,10,17,1054.66,United Kingdom,4,5,4,454,Champions
CUST-10219,42,12,1160.8,United Kingdom,2,3,4,234,Need Attention
CUST-10220,28,13,1735.38,United Kingdom,3,3,5,335,Loyal Customers
CUST-10221,6,11,1273.39,United Kingdom,5,2,5,525,Recent Customers
CUST-10222,7,14,627.17,Spain,5,4,2,542,Champions
CUST-10223,3,15,998.7,United Kingdom,5,4,4,544,Champions
CUST-10224,37,19,1354.04,United Kingdom,2,5,5,255,Need Attention
CUST-10225,25,13,1027.1,United Kingdom,3,3,4,334,Loyal Customers
CUST-10226,46,12,426.64,United Kingdom,2,3,1,231,Need Attention
CUST-10227,54,21,2243.37,Germany,1,5,5,155,At Risk
CUST-10228,69,9,479.93,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10229,10,14,629.68,United Kingdom,4,4,2,442,Champions
CUST-10230,40,10,742.81,Australia,2,2,3,223,About To Sleep
CUST-10231,39,10,636.22,United Kingdom,2,2,2,222,About To Sleep
CUST-10232,4,11,681.12,France,5,2,2,522,Recent Customers
CUST-10233,24,15,1586.78,France,3,4,5,345,Loyal Customers
CUST-10234,8,13,533.42,United Kingdom,5,3,2,532,Loyal Customers
CUST-10235,44,13,986.17,Netherlands,2,3,4,234,Need Attention
CUST-10236,18,15,707.39,United Kingdom,3,4,3,343,Loyal Customers
CUST-10237,7,11,1999.72,Australia,5,2,5,525,Recent Customers
CUST-10238,9,10,653.4,France,4,2,2,422,Recent Customers
CUST-10239,17,11,346.71,United Kingdom,4,2,1,421,Recent Customers
CUST-10240,31,12,440.73,Germany,2,3,1,231,Need Attention
CUST-10241,7,9,471.47,United Kingdom,5,1,1,511,Recent Customers
CUST-10242,2,11,914.93,United Kingdom,5,2,3,523,Recent Customers
CUST-10243,11,9,376.45,United Kingdom,4,1,1,411,Recent Customers
CUST-10244,62,10,979.24,Spain,1,2,4,124,Lost / Hibernating
CUST-10245,6,15,1327.3,United Kingdom,5,4,5,545,Champions
CUST-10246,20,16,1928.21,United Kingdom,3,5,5,355,Loyal Customers
CUST-10247,17,14,1670.8,United States,4,4,5,445,Champions
CUST-10248,18,9,530.35,Germany,3,1,2,312,Promising
CUST-10249,32,9,602.41,United Kingdom,2,1,2,212,About To Sleep
CUST-10250,45,10,402.24,United Kingdom,2,2,1,221,About To Sleep
CUST-10251,4,10,776.43,United Kingdom,5,2,3,523,Recent Customers
CUST-10252,16,7,457.45,United Kingdom,4,1,1,411,Recent Customers
CUST-10253,65,12,560.96,United Kingdom,1,3,2,132,At Risk
CUST-10254,1,8,1299.65,Germany,5,1,5,515,Recent Customers
CUST-10255,16,15,1249.77,United Kingdom,4,4,5,445,Champions
CUST-10256,39,16,1275.51,United Kingdom,2,5,5,255,Need Attention
CUST-10257,11,19,945.12,United Kingdom,4,5,4,454,Champions
CUST-10258,18,11,1399.59,United States,3,2,5,325,Promising
CUST-10259,8,13,1887.76,France,5,3,5,535,Loyal Customers
CUST-10260,1,11,767.93,France,5,2,3,523,Recent Customers
CUST-10261,9,7,471.33,Netherlands,4,1,1,411,Recent Customers
CUST-10262,30,8,1045.68,United Kingdom,2,1,4,214,About To Sleep
CUST-10263,23,15,722.22,United Kingdom,3,4,3,343,Loyal Customers
CUST-10264,22,15,630.49,United Kingdom,3,4,2,342,Loyal Customers
CUST-10265,46,11,960.9,United Kingdom,2,2,4,224,About To Sleep
CUST-10266,7,17,802.92,United Kingdom,5,5,3,553,Champions
CUST-10267,79,12,884.2,United Kingdom,1,3,3,133,At Risk
CUST-10268,12,13,1025.67,Germany,4,3,4,434,Loyal Customers
CUST-10269,47,12,510.43,Germany,2,3,1,231,Need Attention
CUST-10270,13,7,452.94,France,4,1,1,411,Recent Customers
CUST-10271,13,13,586.95,United Kingdom,4,3,2,432,Loyal Customers
CUST-10272,6,12,1224.84,United Kingdom,5,3,5,535,Loyal Customers
CUST-10273,32,16,694.68,United Kingdom,2,5,2,252,Need Attention
CUST-10274,140,9,443.93,United States,1,1,1,111,Lost / Hibernating
CUST-10275,29,8,736.95,United States,3,1,3,313,Promising
CUST-10276,39,14,635.93,United Kingdom,2,4,2,242,Need Attention
CUST-10277,1,19,1603.23,United Kingdom,5,5,5,555,Champions
CUST-10278,28,17,1416.27,United Kingdom,3,5,5,355,Loyal Customers
CUST-10279,38,15,857.47,Australia,2,4,3,243,Need Attention
CUST-10280,6,14,863.96,United Kingdom,5,4,3,543,Champions
CUST-10281,23,11,604.67,Germany,3,2,2,322,Promising
CUST-10282,59,12,2033.35,France,1,3,5,135,At Risk
CUST-10283,22,13,681.94,France,3,4,2,342,Loyal Customers
CUST-10284,42,12,664.21,United Kingdom,2,3,2,232,Need Attention
CUST-10285,12,16,701.6,United Kingdom,4,5,3,453,Champions
CUST-10286,2,10,983.82,United Kingdom,5,2,4,524,Recent Customers
CUST-10287,39,9,663.95,United Kingdom,2,1,2,212,About To Sleep
CUST-10288,3,17,827.65,United Kingdom,5,5,3,553,Champions
CUST-10289,60,12,1871.97,United Kingdom,1,3,5,135,At Risk
CUST-10290,68,9,486.43,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10291,24,11,587.88,Australia,3,2,2,322,Promising
CUST-10292,4,9,353.44,United Kingdom,5,1,1,511,Recent Customers
CUST-10293,36,15,1172.2,United Kingdom,2,4,4,244,Need Attention
CUST-10294,60,11,779.39,United Kingdom,1,2,3,123,Lost / Hibernating
CUST-10295,77,10,591.43,United States,1,2,2,122,Lost / Hibernating
CUST-10296,36,10,731.43,United Kingdom,2,2,3,223,About To Sleep
CUST-10297,48,15,875.1,United States,2,4,3,243,Need Attention
CUST-10298,55,12,328.42,United Kingdom,1,3,1,131,At Risk
CUST-10299,75,9,394.71,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10300,17,13,1529.08,Australia,4,4,5,445,Champions
CUST-10301,28,15,901.17,France,3,5,3,353,Loyal Customers
CUST-10302,2,15,1262.4,Australia,5,5,5,555,Champions
CUST-10303,3,16,3375.88,United Kingdom,5,5,5,555,Champions
CUST-10304,94,11,938.92,Germany,1,2,4,124,Lost / Hibernating
CUST-10305,12,10,575.93,United Kingdom,4,2,2,422,Recent Customers
CUST-10306,54,7,353.69,Germany,1,1,1,111,Lost / Hibernating
CUST-10307,28,14,443.25,United States,3,4,1,341,Loyal Customers
CUST-10308,23,11,1912.7,Netherlands,3,2,5,325,Promising
CUST-10309,19,15,1557.68,Australia,3,5,5,355,Loyal Customers
CUST-10310,17,9,775.69,United Kingdom,4,1,3,413,Recent Customers
CUST-10311,56,11,594.68,United Kingdom,1,2,2,122,Lost / Hibernating
CUST-10312,28,11,979.71,United Kingdom,3,2,4,324,Promising
CUST-10313,73,10,729.62,United Kingdom,1,2,3,123,Lost / Hibernating
CUST-10314,10,20,1478.26,Australia,4,5,5,455,Champions
CUST-10315,21,10,935.37,United Kingdom,3,2,4,324,Promising
CUST-10316,8,7,391.98,United Kingdom,5,1,1,511,Recent Customers
CUST-10317,106,7,187.49,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10318,6,10,478.89,United Kingdom,5,2,1,521,Recent Customers
CUST-10319,1,15,1218.81,Australia,5,5,4,554,Champions
CUST-10320,14,16,902.69,Australia,4,5,3,453,Champions
CUST-10321,72,9,416.74,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10322,55,17,2033.13,United Kingdom,1,5,5,155,At Risk
CUST-10323,47,7,313.42,Germany,2,1,1,211,About To Sleep
CUST-10324,7,6,572.68,United Kingdom,5,1,2,512,Recent Customers
CUST-10325,74,9,461.18,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10326,7,13,1740.04,France,5,4,5,545,Champions
CUST-10327,6,14,921.14,Australia,5,4,4,544,Champions
CUST-10328,16,13,1090.05,Spain,4,4,4,444,Champions
CUST-10329,15,21,1726.42,United Kingdom,4,5,5,455,Champions
CUST-10330,45,19,858.9,Spain,2,5,3,253,Need Attention
CUST-10331,53,14,1674.21,Netherlands,1,4,5,145,At Risk
CUST-10332,26,8,542.44,United Kingdom,3,1,2,312,Promising
CUST-10333,25,14,874.22,United Kingdom,3,4,3,343,Loyal Customers
CUST-10334,7,11,625.21,United Kingdom,5,2,2,522,Recent Customers
CUST-10335,49,17,1093.65,Germany,2,5,4,254,Need Attention
CUST-10336,20,14,1570.41,United Kingdom,3,4,5,345,Loyal Customers
CUST-10337,58,14,977.44,Spain,1,4,4,144,At Risk
CUST-10338,20,20,1320.59,France,3,5,5,355,Loyal Customers
CUST-10339,60,13,1308.88,United Kingdom,1,4,5,145,At Risk
CUST-10340,5,12,1510.07,United Kingdom,5,3,5,535,Loyal Customers
CUST-10341,12,15,990.15,United Kingdom,4,5,4,454,Champions
CUST-10342,17,6,275.25,United Kingdom,4,1,1,411,Recent Customers
CUST-10343,38,18,1141.69,France,2,5,4,254,Need Attention
CUST-10344,23,14,697.43,United Kingdom,3,4,3,343,Loyal Customers
CUST-10345,10,17,1360.07,United Kingdom,4,5,5,455,Champions
CUST-10346,30,15,1285.15,United Kingdom,2,5,5,255,Need Attention
CUST-10347,76,8,416.44,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10348,10,11,1023.44,United States,4,2,4,424,Recent Customers
CUST-10349,16,9,409.97,United States,4,1,1,411,Recent Customers
CUST-10350,25,5,420.39,United Kingdom,3,1,1,311,Promising
CUST-10351,36,7,557.44,United Kingdom,2,1,2,212,About To Sleep
CUST-10352,32,11,1355.05,United Kingdom,2,2,5,225,About To Sleep
CUST-10353,66,9,543.46,Spain,1,1,2,112,Lost / Hibernating
CUST-10354,17,12,1102.78,France,4,3,4,434,Loyal Customers
CUST-10355,19,18,1016.96,Germany,3,5,4,354,Loyal Customers
CUST-10356,24,10,592.0,United Kingdom,3,2,2,322,Promising
CUST-10357,22,6,319.48,Germany,3,1,1,311,Promising
CUST-10358,69,11,612.46,United States,1,2,2,122,Lost / Hibernating
CUST-10359,18,12,437.15,France,3,3,1,331,Loyal Customers
CUST-10360,10,14,606.23,Australia,4,4,2,442,Champions
CUST-10361,14,13,548.95,United Kingdom,4,4,2,442,Champions
CUST-10362,98,5,321.43,United Kingdom,1,1,1,111,Lost / Hibernating
CUST-10363,17,19,883.42,United Kingdom,4,5,3,453,Champions
CUST-10364,58,13,680.14,United Kingdom,1,4,2,142,At Risk
CUST-10365,33,14,1021.39,United Kingdom,2,4,4,244,Need Attention
CUST-10366,7,13,1198.67,United Kingdom,5,4,4,544,Champions
CUST-10367,9,14,634.18,United Kingdom,4,4,2,442,Champions
CUST-10368,7,17,1904.26,United Kingdom,5,5,5,555,Champions
CUST-10369,21,20,1606.93,United Kingdom,3,5,5,355,Loyal Customers
CUST-10370,7,10,1428.85,United Kingdom,5,2,5,525,Recent Customers
CUST-10371,21,16,607.15,France,3,5,2,352,Loyal Customers
CUST-10372,4,4,224.99,Spain,5,1,1,511,Recent Customers
CUST-10373,1,12,475.99,United Kingdom,5,3,1,531,Loyal Customers
CUST-10374,15,12,598.22,Germany,4,3,2,432,Loyal Customers
CUST-10375,17,12,1232.62,Spain,4,3,5,435,Loyal Customers
CUST-10376,27,14,725.16,United Kingdom,3,4,3,343,Loyal Customers
CUST-10377,64,10,966.9,United Kingdom,1,2,4,124,Lost / Hibernating
CUST-10378,8,9,251.43,United Kingdom,5,1,1,511,Recent Customers
CUST-10379,34,7,210.46,Germany,2,1,1,211,About To Sleep
CUST-10380,82,12,836.12,Spain,1,3,3,133,At Risk
CUST-10381,66,7,906.43,Germany,1,1,3,113,Lost / Hibernating
CUST-10382,93,10,432.96,United Kingdom,1,2,1,121,Lost / Hibernating
CUST-10383,22,15,1166.66,Spain,3,5,4,354,Loyal Customers
CUST-10384,10,8,500.69,Netherlands,4,1,1,411,Recent Customers
CUST-10385,51,15,913.0,France,1,5,3,153,At Risk
CUST-10386,1,22,1544.56,United Kingdom,5,5,5,555,Champions
CUST-10387,48,9,284.74,United Kingdom,2,1,1,211,About To Sleep
CUST-10388,57,11,1062.07,Australia,1,2,4,124,Lost / Hibernating
